name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
"Hypertension, Portal (dsyn)",4.16e-16,1.09,27,829,5,27.88
Solanum tuberosum (plnt),3.62e-09,0.15,2,26,0,2.15
Growth arrest (patf),2.02e-14,0.19,1,56,0,1.02
Entire heart (bpoc),9.73e-36,7.65,38,489,46,40.95
Zea mays (plnt),3e-30,0.14,4,84,0,4.19
Ions (elii),6.34e-221,0.07,26,240,0,28.82
Gastric acid secretion (ortf),8.98e-15,0.08,4,14,0,5.14
Metastatic malignant neoplasm to brain (neop),2.1e-29,2.19,4,1611,2,4.01
Spermidine (nsba),1.19e-17,0.07,1,19,1,1.05
Haloperidol (orch),4.6e-31,0.21,23,135,0,26.92
Open approach (topp),1.06e-52,4.47,167,1401,57,186.91
Carboplatin (phsu),9.95e-23,1.39,19,1289,10,19.28
Vertebral column (bpoc),3.01e-36,1.18,539,659,7,979.85
exenatide (aapp),1.46e-16,2.08,126,50,3,69.84
TNFSF13B (gngm),2.14e-08,0.2,2,34,0,2.12
Prostate (bpoc),3.85e-07,0.94,349,2471,68,398.29
osteopontin (aapp),1.77e-16,0.4,30,223,2,34.04
NF-kappa B (aapp),1.93e-113,0.29,35,847,3,36.45
Conscious (menp),2.5e-58,0.05,1,54,0,1.02
Refeeding syndrome (dsyn),2.52e-07,9.77,17,18,6,33.06
Population at Risk (popg),6.01e-42,5.17,94,307,7,122.78
Ejection fraction (fndg),4.9e-29,4.23,148,1947,55,159.25
rapid technique (diap),9.2e-10,0.23,2,48,0,2.08
Gene Expression Regulation (genf),4.03e-07,0.37,20,84,1,24.76
Fc Receptor (aapp),1.93e-12,0.09,2,20,0,2.2
Radionuclide Imaging (diap),9.83e-38,0.37,74,465,4,85.78
"Stress Disorders, Post-Traumatic (mobd)",2.81e-25,0.31,98,209,5,143.95
Thyroxine|T (horm),2.89e-07,72.7,7,7,0,14.0
Tardive Dyskinesia (dsyn),1.51e-11,0.05,2,7,0,2.57
Excision of sigmoid colon NOS (topp),2.17e-10,4.69,17,71,8,21.07
Structure of cortex of kidney (bpoc),3.16e-11,0.1,4,14,0,5.14
Spinal Cord (bpoc),5.37e-224,0.17,14,760,0,14.26
Postoperative Complications (patf),2.3e-264,6.99,421,3207,213,476.27
Relationships (qlco),3.29e-78,4.68,1019,1061,122,1997.66
Amputation Stumps (acab),8.5e-07,0.81,16,393,7,16.65
Vitamin D Deficiency (dsyn),3.88e-19,5.73,567,391,22,660.63
Hypoplastic Left Heart Syndrome (dsyn),3.82e-06,2.68,3,482,0,3.02
plant growth/development (orgf),1.43e-12,0.07,1,16,0,1.06
hypoglycemia (dsyn),6.95e-32,1.87,310,930,20,413.33
MAPT (gngm),1.04e-33,0.11,7,70,0,7.7
Habits (inbe),4.98e-27,5.07,892,655,91,1135.97
Delayed gastric emptying (fndg),2.04e-07,2.87,31,73,2,44.16
Receptor Activation (celf),1.21e-15,0.27,12,102,0,13.41
Carbapenems (antb),2.57e-09,1.59,2,361,0,2.01
Brackets (medd),8.14e-10,0.05,1,7,0,1.14
Triglycerides (bacs),6.01e-63,4.49,2615,676,120,850.75
Ventricular Septal Defects (cgab),3.52e-11,1.33,9,539,2,9.15
Phenylalanine (phsu),3.05e-18,0.2,31,54,0,48.8
Very high (fndg),4.67e-16,3.05,66,245,4,83.78
Cell membrane (celc),1e-250,0.09,42,409,1,46.31
Entire choroid plexus (bpoc),1.04e-19,0.11,1,42,0,1.02
Fetal Membranes (emst),2.34e-06,0.16,1,20,0,1.05
Mutant Proteins (aapp),5.6e-18,0.15,3,54,0,3.17
Saponins (strd),4.08e-12,0.17,4,39,0,4.41
ascorbate (phsu),5.45e-14,0.17,12,38,1,15.79
Adenylate Cyclase (aapp),5.58e-85,0.02,2,23,0,2.17
Organ (bpoc),1.11e-36,1.29,450,7072,61,478.63
"Pituitary Gland, Posterior (bpoc)",8.46e-10,0.12,4,17,0,4.94
Ventral Hernia (dsyn),4.32e-09,7.71,57,48,7,88.42
Hepatoblastoma (neop),7.59e-08,0.9,2,188,1,2.02
Ratio (inpr),8.58e-18,2.54,88,314,10,112.66
Carbon Tetrachloride (hops),2.49e-06,0.14,1,16,0,1.06
Manganese Superoxide Dismutase (aapp),1.43e-07,0.31,13,62,0,15.73
brush border membrane (celc),4.29e-29,0.04,2,17,0,2.24
Nucleus Accumbens (bpoc),6.74e-51,0.04,9,11,0,16.36
Ion-Exchange Chromatography Procedure (lbpr),1.52e-07,0.07,1,8,0,1.12
"Cell Line, Tumor (cell)",4.03e-42,0.14,1,117,0,1.01
Wound dehiscence (acab),7.36e-11,3.95,24,64,4,33.0
Cartilaginous exostosis (neop),1.63e-06,0.13,1,16,0,1.06
Entire lip (bpoc),1.94e-06,0.45,11,120,0,12.01
Acetylcysteine (aapp),1.63e-25,0.39,25,422,0,26.48
Dermatan Sulfate (bacs),4.58e-06,0.09,1,8,0,1.12
Nucleotides (nnon),1.84e-34,0.15,12,99,0,13.45
Insulin-Like Growth-Factor Binding Protein 1 (aapp),6.51e-16,2.13,91,24,6,30.33
Plasma C-reactive protein (aapp),3.98e-07,9.57,50,35,2,59.5
resistance education (topp),3.46e-07,5.27,204,37,4,43.71
Multiple Myeloma (neop),3.39e-77,1.03,43,2611,11,43.71
White Blood Cell Count procedure (lbpr),6.44e-17,2.97,61,220,11,77.91
Natriuretic Peptides|T (aapp),8.66e-08,556.12,2,43,2,2.09
granulosa cell (cell),4.09e-30,0.08,18,6,0,8.0
Cisplatin (inch),1.65e-111,0.77,24,3643,3,24.16
Endoribonucleases (aapp),1.04e-13,0.07,4,10,0,5.6
loss; bone (patf),7.41e-44,1.73,369,225,7,362.2
Spleen (bpoc),6.61e-152,0.32,36,2287,8,36.57
Acoustics (npop),5.43e-12,0.09,5,12,0,7.08
Cancer Diagnosis (diap),4.27e-16,4.18,52,552,27,56.9
Core Protein (aapp),1.97e-08,0.11,1,18,0,1.06
Recombinant human granulocyte colony stimulating factor (gngm),5.85e-08,0.24,1,39,0,1.03
Aqueous Humor (bdsu),1.45e-08,0.07,2,4,1,3.0
Amygdaloid structure (bpoc),3.62e-46,0.07,16,23,0,27.13
Thermogenesis (orgf),3.14e-13,1.26,97,22,0,26.99
Tension (mobd),4.22e-27,0.25,48,151,3,63.26
Essential Hypertension (dsyn),3.39e-61,1.87,671,420,28,682.89
Decreased renal function (fndg),5.68e-11,5.15,22,60,1,30.07
Phospholipase C (aapp),3.13e-30,0.03,2,14,0,2.29
Depressed mood (fndg),4.35e-19,2.06,660,1321,53,989.75
Neuroglia (cell),1.1e-56,0.11,2,117,0,2.03
pancreatic neoplasm (neop),2.56e-06,1.48,4,377,5,4.04
Body Size (orga),4.95e-08,15.11,454,91,35,109.24
Cerebral cortex (bpoc),1.21e-115,0.09,5,199,0,5.13
Continuous Positive Airway Pressure (topp),1.14e-11,3.69,457,453,26,902.04
Xylose (bacs),1.27e-08,0.05,1,5,0,1.2
Metalloproteases (aapp),8.72e-15,0.38,21,176,0,23.51
Cephalometry (diap),3.52e-09,1.3,56,2,0,2.07
Natural Products (bacs),4e-12,0.25,4,68,0,4.24
Class 1 (clas),1.58e-07,8.38,10,18,2,15.56
Wheezing (sosy),2.56e-08,1.08,110,85,1,150.68
Cochlear Implants (medd),1.32e-24,0.03,2,8,0,2.5
nucleocapsid location (celc),3.58e-77,0.12,13,178,1,13.95
Alternative Splicing (genf),1.55e-11,0.17,4,38,0,4.42
Diabetic Nephropathy (dsyn),6.67e-19,1.82,208,857,30,258.48
nervous system disorder (dsyn),1.44e-07,0.56,58,642,3,63.24
Synaptic Transmission (ortf),5.82e-24,0.04,2,14,0,2.29
Anemia (dsyn),3.11e-18,1.98,407,3287,101,457.4
Graft-vs-Host Disease (dsyn),2.3e-15,2.48,5,1039,0,5.02
Melatonin (horm),2.8e-58,0.2,81,214,1,111.66
Muramidase|LYZ (aapp),1.84e-19,0.1,3,37,0,3.24
Tunicamycin (antb),4.02e-12,0.08,4,9,0,5.78
Parkinsonian Disorders (dsyn),3.94e-18,0.26,12,111,0,13.3
Muscularis propria (tisu),1.22e-07,0.36,4,75,1,4.21
pituitary adenylate cyclase activating polypeptide (aapp),4.87e-17,0.09,2,26,0,2.15
Degenerative polyarthritis (dsyn),1.68e-168,1.35,1173,290,36,361.7
Senile Plaques (acab),2.31e-10,1.09,328,732,33,474.97
Rodent (mamm),1.79e-27,0.44,130,563,3,160.02
Pain intensity (fndg),1.49e-14,1.61,71,19,0,24.08
Urea (bacs),1.02e-13,0.47,69,332,13,83.34
Insulin used (fndg),8.84e-10,10.79,28,26,7,50.14
Physical shape (fndg),2.24e-15,1.5,127,105,3,191.81
Controlled Study (resa),1.24e-15,3.74,45,123,1,61.46
Toxin (bacs),1.9e-19,0.4,14,822,6,14.24
Bone Marrow Stem Cell (cell),6.58e-10,0.21,2,43,0,2.09
Leukopenia (dsyn),2.37e-06,1.29,12,397,2,12.36
Xenopus laevis (amph),2.88e-29,0.09,2,51,0,2.08
oncostatin M|OSM (aapp),7.24e-08,0.05,1,5,0,1.2
Terminally Ill Patients (humn),1.48e-06,1.03,3,198,1,3.05
Tracer (irda),1.15e-07,0.28,21,46,1,30.59
univariate analysis (resa),6.22e-28,8.24,49,304,8,56.9
Islets of Langerhans (bpoc),9.26e-14,0.26,46,66,2,78.06
Turtles (rept),1.59e-08,0.32,1,113,1,1.01
Sunlight (npop),1.38e-10,0.33,24,102,0,29.65
Hyperphagia (mobd),2.81e-11,4.0,162,29,4,34.19
Dinoprostone (eico),9.57e-99,0.11,24,185,0,27.11
internal risk factors (clna),1.2e-08,7.92,16,25,2,26.24
Polyomavirus (virs),5.73e-08,0.32,2,96,0,2.04
Bone Marrow Cells (cell),2.22e-76,0.18,6,285,0,6.13
"Hyperlipidemia, Familial Combined (dsyn)",2.54e-13,2.18,62,12,1,14.32
High Resolution Computed Tomography (diap),5.2e-07,1.95,49,160,4,64.01
Epoxy Compounds (orch),4.45e-07,0.07,2,5,0,2.8
Retinoid X Receptors (aapp),2.01e-06,0.16,4,16,0,5.0
Pituitary Gland (bpoc),1.04e-19,0.2,18,76,2,22.26
Vancomycin|TNIP1 (antb),3.71e-19,145.59,12,198,2,12.73
Hydrocephalus (dsyn),6.77e-18,0.8,14,628,1,14.31
Cartilage (tisu),2.22e-12,0.33,155,82,0,125.38
Carbachol (phsu),3.3e-41,0.02,2,9,0,2.44
Guillain-Barre Syndrome (dsyn),3.57e-08,0.34,1,185,0,1.01
Cessation of life (orgf),1.2e-100,5.49,554,29624,963,564.36
Necrotizing fasciitis (dsyn),2.69e-09,2.52,2,715,3,2.01
Sinoatrial Node (bpoc),2.23e-11,0.28,2,88,0,2.05
Somatotropin|TH (aapp),2.02e-82,171.76,82,69,5,127.06
Interleukin-15 (aapp),1.61e-06,0.36,8,64,0,9.0
Pisum sativum (plnt),5.6e-08,0.09,2,10,0,2.4
Cochlear structure (bpoc),4.16e-56,0.03,4,21,0,4.76
Enucleation procedure (topp),8.02e-08,1.01,8,289,1,8.22
Cytarabine (hops),2.99e-24,1.04,1,638,5,1.0
Brain Injuries (inpo),1.45e-36,0.96,21,1099,1,21.4
Glycerol (bacs),2.56e-07,0.36,73,85,0,135.69
Manganese (bacs),4.85e-12,0.21,21,41,0,31.76
Huntington Disease (dsyn),3.23e-09,0.32,35,84,2,49.58
Learning (menp),2.64e-17,0.2,23,60,0,31.82
Systolic dysfunction (patf),1.69e-14,4.89,43,363,11,48.09
Aminopeptidase (aapp),3.97e-08,0.12,2,16,0,2.25
Avulsed wound (inpo),1.16e-06,0.32,15,57,0,18.95
Transforming Growth Factor alpha|TGFA (aapp),1.82e-08,0.08,1,11,0,1.09
Serotonin (nsba),2.82e-140,0.11,75,178,7,106.6
"Staplers, Surgical, Linear (medd)",2.47e-10,6.56,13,28,10,19.04
ATP phosphohydrolase|DNAH8 (aapp),2.44e-28,0.05,1,24,1,1.04
Dryness of eye (sosy),9.87e-08,0.08,3,5,0,4.8
Ileostomy (topp),2.08e-06,2.94,20,123,10,23.25
Trimethoprim (phsu),2.8e-08,0.22,2,37,0,2.11
Astrocytes (cell),1.92e-131,0.08,3,208,0,3.04
paradigm (resa),3.34e-08,0.39,23,112,0,27.72
Absence Epilepsy (dsyn),3.12e-07,0.09,2,9,0,2.44
Aging (orgf),3.6e-39,1.81,821,2187,94,1129.2
Entire humerus (bpoc),1.59e-07,0.39,17,97,0,19.98
Endometrial Hyperplasia (dsyn),9.85e-08,1.75,41,18,1,25.9
hearing impairment (sosy),4.38e-29,0.25,55,165,3,73.33
MG 132 (aapp),2.56e-08,0.06,1,7,0,1.14
Otitis Media with Effusion (dsyn),1.68e-07,0.11,6,3,0,4.5
Surgeon (humn),1.82e-97,2.91,436,1944,83,533.79
Testicular Tissue (tisu),7.23e-08,0.09,1,12,0,1.08
Applanation tonometry (diap),4.23e-10,6.38,21,35,7,33.6
Gastrin releasing peptide (aapp),4.33e-07,0.09,1,11,0,1.09
Plasmids (bacs),1.85e-198,0.09,7,332,0,7.15
Succinates (orch),7.22e-07,0.11,3,9,0,4.0
Body Surface Area (diap),7.7e-20,10.96,110,78,13,133.31
A-23187 (antb),2.28e-31,0.01,1,3,0,1.33
Vocal cord structure (bpoc),5.95e-11,0.19,6,42,0,6.86
"Rats, Inbred SHR (mamm)",4.8e-72,0.11,18,135,1,20.4
"Echocardiography, Doppler (diap)",3.76e-09,2.57,60,138,6,86.09
Ubiquitin (aapp),2e-20,0.15,4,62,0,4.26
"Musculoskeletal torsion, function (phsf)",4.05e-06,0.35,14,62,0,17.16
Hyperandrogenism (dsyn),1.81e-27,6.66,348,13,4,13.49
Cyclic AMP (bacs),6.85e-90,0.04,10,39,0,12.56
Personality Traits (fndg),3.21e-12,1.55,74,46,2,74.59
Total excision of stomach NOS (topp),4.93e-16,3.41,57,423,25,64.68
Penicillins (antb),9.75e-12,0.36,3,310,1,3.03
"Aneurysm, Ruptured (dsyn)",5.29e-13,1.48,7,585,0,7.08
Right eye (bpoc),1.37e-10,0.34,13,99,0,14.71
"Oligonucleotides, Antisense (bacs)",4.2e-20,0.2,2,84,0,2.05
Hemodialysis (topp),3.43e-09,3.78,34,369,17,37.13
Hepatic Encephalopathy (dsyn),1.19e-12,0.98,9,430,3,9.19
Nitric Oxide Synthase (aapp),1.89e-40,0.29,29,307,3,31.74
Taurine (gngm),8.69e-27,0.16,17,69,4,21.19
Shell (bpoc),4.01e-34,0.13,6,82,0,6.44
Transaminase Assay (lbpr),6.06e-15,3.9,47,98,1,69.54
Structure of blastomere (emst),4.64e-10,0.12,2,22,0,2.18
Entire atrium (bpoc),3.1e-34,0.16,5,108,0,5.23
Nicorandil (phsu),2.75e-07,0.28,1,45,2,1.02
Semiconductor laser device (medd),1e-06,0.16,3,18,0,3.5
Entire abdominal wall (bpoc),4.67e-11,2.04,101,276,11,137.96
Muscular Dystrophies (dsyn),1.3e-06,0.35,16,69,1,19.71
Interleukin-5 (aapp),1.38e-19,0.2,15,78,0,17.88
Length (qnco),5.74e-60,3.97,204,1534,71,231.13
Cancer cachexia (neop),9.44e-21,4.26,41,109,11,56.42
"Receptors, Cell Surface (aapp)",1.48e-16,0.19,4,65,0,4.25
Free Radicals (bacs),1.25e-16,0.39,47,235,2,56.4
Fever (fndg),1.3e-50,1.31,77,3158,16,78.88
Physical object (mnob),4.22e-07,0.2,6,27,0,7.33
Somatostatin (aapp),1.1e-17,0.26,32,105,0,41.75
"Vaccines, Attenuated (imft)",7.14e-15,0.83,2,336,0,2.01
BCL2-Related Protein 11|BCL2L11 (bacs),6.08e-07,0.27,1,39,1,1.03
Meleagris gallopavo (bird),2.74e-06,2.47,46,274,5,53.72
TRYPSIN (aapp),3.27e-90,0.05,4,80,0,4.2
COS-7 Cells (cell),8.02e-10,0.08,1,13,0,1.08
Immunofluorescence (lbpr),7.49e-19,0.29,9,133,0,9.61
Silicon (bacs),6.92e-13,0.07,1,15,0,1.07
Spectrometers (medd),4.43e-07,0.13,2,15,0,2.27
"Hospitals, Veterans (hcro)",6.84e-08,6.54,12,44,2,15.27
"ESR1 protein, human|ESR1 (aapp)",2.19e-14,0.51,47,346,8,53.38
Pathogenesis (patf),3.52e-41,1.42,1420,4709,58,1848.2
Myoclonus (sosy),3.04e-07,0.3,4,52,0,4.31
sulforafan (phsu),1.59e-09,0.15,1,29,0,1.03
Odds Ratio (qnco),4.35e-14,6.18,37,59,2,60.2
Fluorescence (npop),1.14e-38,0.12,16,69,0,19.71
Marfan Syndrome (dsyn),4.79e-07,1.08,16,390,2,16.66
Flurbiprofen (orch),5.84e-07,0.05,1,4,0,1.25
Septic Shock (patf),8.52e-15,3.63,19,3502,26,19.1
Bacillus Calmette-Guerin (bact),5.96e-08,0.35,2,174,0,2.02
"N,N-dimethylarginine|SPANXC (phsu)",4.21e-54,224.03,20,83,11,24.82
sarcoma (neop),2.18e-84,0.95,18,2081,5,18.16
Logistic Regression (resa),1.46e-301,7.36,451,1022,60,650.02
"Immunoglobulin A, Secretory (aapp)",1.8e-08,0.23,5,41,0,5.61
Recombinant DNA (bacs),1.18e-19,0.22,10,95,0,11.05
Cyclic AMP-Dependent Protein Kinases (aapp),2.63e-56,0.07,10,55,0,11.82
Metabolic Diseases (dsyn),1.75e-10,4.22,799,606,54,1065.62
Tool (mnob),4.56e-10,0.75,223,1242,26,263.04
Clinicians (prog),1.09e-13,2.36,205,1648,26,230.5
Diptera (invt),2.3e-27,0.95,5,627,0,5.04
Water Specimen (inch),8.13e-22,0.11,2,45,0,2.09
Neck (blor),4.13e-61,2.08,1307,2822,45,1912.33
Hypertrophy of tonsils (dsyn),3.41e-07,2.54,27,2,0,2.15
Hematological Disease (dsyn),1.03e-09,1.41,21,772,6,21.57
Nystagmus (dsyn),4.89e-10,0.1,2,16,0,2.25
Thioredoxin|TXN (aapp),3.18e-11,0.14,2,30,0,2.13
Transplanted tissue (tisu),1.12e-17,1.24,132,2662,58,138.55
Inflammatory Bowel Diseases (dsyn),9.78e-07,0.64,249,789,11,327.58
Anthracycline Antibiotics (antb),9.76e-07,1.15,7,313,3,7.16
Neuropathic pain (sosy),3.89e-12,0.22,27,43,0,43.95
Muromonab-CD3 (aapp),1.45e-26,0.2,4,111,0,4.14
Myelography (diap),1.6e-06,0.13,2,14,0,2.29
ATM gene|ATM (gngm),1.25e-14,0.38,13,172,0,13.98
Angioplasty (topp),2.52e-16,1.91,18,1470,10,18.22
Cholesterol (bacs),2.07e-160,1.44,1158,885,94,1561.36
Systolic Pressure (orgf),3.87e-10,6.73,209,131,16,213.11
Maternal hypertension (dsyn),1.48e-10,4.43,29,57,1,43.75
NTRK1 gene|NTRK1 (gngm),3.69e-12,0.15,2,35,0,2.11
angiogenin|ANG (aapp),4.45e-06,0.14,2,15,0,2.27
Phosphatidyl glycerol (bacs),2.36e-09,0.04,1,5,0,1.2
Interleukin-4|IL4 (aapp),2.27e-11,0.08,1,15,0,1.07
UCP2 (gngm),1.78e-06,1.6,28,7,0,8.75
Nodule (acab),2.55e-19,0.75,22,1003,4,22.48
Messages (inpr),4.57e-07,3.69,102,124,13,185.9
Monoamine Oxidase (aapp),1.34e-20,0.08,9,15,0,14.4
GABA Receptor (aapp),6.08e-09,0.13,3,17,1,3.53
Acute infectious disease (dsyn),5.2e-11,0.87,15,390,2,15.58
Supplementary Feeding (topp),1.51e-08,5.82,16,30,6,24.53
Na(+)-K(+)-Exchanging ATPase (aapp),9.96e-17,0.15,9,43,0,10.88
Kidney Calculi (patf),1.2e-36,2.15,210,55,5,69.4
Cardiovascular arteriosclerosis unspecified (dsyn),1.25e-48,7.35,74,244,14,96.44
Proton Pump (gngm),8.65e-07,0.07,2,5,0,2.8
Soy Proteins (aapp),5.39e-12,1.51,75,51,4,85.68
Falls (fndg),3.31e-21,1.65,321,1297,39,400.45
prevention of disorder (topp),3.97e-26,4.03,70,251,10,89.52
Monoamine Oxidase Inhibitors (phsu),5.74e-10,0.13,1,24,0,1.04
Verbal (orgf),5.98e-09,0.29,17,65,0,21.45
lysophosphatidic acid (lipd),6.03e-15,0.09,3,23,0,3.39
Combined Modality Therapy (topp),2.63e-06,1.56,268,3738,21,287.21
Naltrexone (phsu),9.32e-14,0.24,15,69,3,18.26
Interleukin-13 (aapp),1.41e-17,0.23,6,90,0,6.4
Aspartic Acid (gngm),4.27e-07,0.06,1,5,0,1.2
Binding Sites (rcpt),1.3e-141,0.06,14,148,1,15.32
Probes (medd),2.37e-57,0.28,108,428,2,135.25
Percutaneous endoscopic gastrostomy (topp),1.2e-08,2.96,27,195,18,30.74
Botulinum Toxin Type A (phsu),2.32e-10,0.05,2,5,0,2.8
Immunocompetent (clna),4.3e-22,1.38,3,711,0,3.01
Slide (resd),5.68e-14,0.38,12,176,0,12.82
Bronchoalveolar Lavage (diap),7.28e-07,0.73,4,287,0,4.06
Sickle Cell Anemia (dsyn),2.69e-07,0.87,113,1076,11,124.87
Erectile dysfunction (dsyn),4.98e-25,1.12,282,143,12,215.51
Cell Adhesion (celf),4.74e-31,0.27,7,204,0,7.24
Chromosomes (celc),1.88e-27,0.15,15,73,0,18.08
ethnic differences (fndg),3.65e-21,7.71,126,115,11,219.96
Bradykinin (aapp),8.8e-39,0.12,14,70,1,16.8
Recombinant Tumor Necrosis Factor-Alpha (aapp),1.48e-07,0.08,1,9,0,1.11
Uridine Triphosphate (bacs),3.39e-09,0.04,1,4,0,1.25
Gamma Knife Radiosurgery (topp),1.45e-07,1.5,1,254,0,1.0
Self Administration (topp),7.39e-22,0.07,6,19,0,7.89
Congestion (patf),9.96e-07,1.21,5,288,2,5.09
Hydrolase (aapp),2.96e-22,0.09,3,34,0,3.26
Splenocyte (cell),1.2e-15,0.3,2,197,0,2.02
Chronic inflammation (patf),3.36e-20,2.72,379,619,32,611.05
Somatosensory Evoked Potentials (ortf),1.84e-08,0.16,5,24,0,6.04
Graft loss (patf),4.42e-09,5.43,18,535,29,18.61
Integral Membrane Proteins (aapp),1.98e-17,0.16,4,54,2,4.3
Well nourished (fndg),3.46e-15,6.49,59,71,15,108.03
Adipose tissue (tisu),3.54e-172,2.85,1489,310,60,374.54
Verapamil (orch),5.7e-67,0.1,4,124,0,4.13
Transmission Electron Microscopy (lbpr),3.13e-16,0.24,4,87,0,4.18
Left atrial hypertrophy (fndg),7.42e-11,5.12,24,47,4,36.26
Mandible (bpoc),2.1e-40,0.25,74,242,0,96.63
Calcium ion (elii),4.16e-18,0.06,2,18,0,2.22
Normal cell (cell),7.09e-37,0.24,3,195,0,3.05
Papillomavirus Infections (dsyn),2.02e-07,0.44,13,377,1,13.45
intact cell (cell),8.62e-27,0.02,1,7,0,1.14
ARGINASE (aapp),3.29e-07,0.29,6,50,0,6.72
Inferior Colliculus (bpoc),2.14e-74,0.07,9,83,0,9.98
Putrescine (nsba),7.42e-17,0.05,1,12,1,1.08
Lymphoid Cells (cell),4.14e-21,0.14,1,61,0,1.02
HEXOKINASE (aapp),7.34e-12,0.07,2,11,0,2.36
Necrosis (patf),2.52e-34,1.05,96,2090,7,100.41
Diastasis (patf),6.27e-30,0.29,78,231,6,104.34
Amides (orch),1.47e-18,0.07,3,19,0,3.47
Fatty Liver (dsyn),4.44e-15,5.18,955,239,30,298.81
"Osteoarthritis, Knee (dsyn)",1.31e-120,4.91,876,20,7,20.46
anti-IgE|IGHE (aapp),1.04e-07,0.06,1,7,0,1.14
Wasting (dsyn),1.64e-32,3.93,136,256,41,208.25
Plant Leaves (plnt),9.32e-30,0.21,1,125,0,1.01
Endothelin-1 (aapp),3.69e-16,0.37,80,226,1,108.32
Bicuspid (bpoc),7.21e-22,0.21,1,96,0,1.01
Atresia (cgab),2.28e-16,0.77,4,507,0,4.03
Phenoxybenzamine (phsu),8.32e-07,0.07,1,7,0,1.14
Liver diseases (dsyn),7.76e-51,2.24,453,2369,68,539.62
Charts (medd),1.03e-76,4.31,191,511,14,262.39
END ORGAN DAMAGE (dsyn),4.63e-11,4.42,30,163,5,35.52
Transition zone of anal mucous membrane (bpoc),7.86e-26,8.07,35,118,8,45.38
Cardiovascular event (fndg),4.57e-286,8.66,393,3943,241,432.17
imatinib (phsu),3.03e-06,0.64,12,784,0,12.18
Glycyrrhizic Acid (phsu),2.2e-07,0.11,1,15,0,1.07
Staphylococcus aureus (bact),1.78e-54,0.9,19,1444,8,19.25
high-dose chemotherapy (topp),2.02e-11,2.14,7,848,2,7.06
Octreotide (horm),1.61e-19,0.42,27,293,1,29.49
targeted prevention (topp),3.16e-07,6.98,9,24,2,12.38
enzyme activity (moft),2.03e-42,0.14,18,109,1,20.97
Chenodeoxycholic Acid (bacs),7.16e-07,0.11,3,10,0,3.9
Monoclonal Antibodies (aapp),8.83e-217,0.25,23,1342,2,23.39
trafficking (celf),4.52e-77,0.13,15,197,0,16.14
winter (tmco),3.36e-07,2.43,44,199,4,53.73
Acetyl Coenzyme A (bacs),3.9e-08,0.08,1,10,0,1.1
Predisposition (orga),3.12e-07,2.19,132,269,6,196.77
Burn injury (inpo),8.7e-14,1.47,45,1523,19,46.33
Mitral Valve Insufficiency (dsyn),3.48e-12,1.74,30,1383,12,30.65
hepatic arterial infusion (topp),1.83e-09,1.1,1,250,1,1.0
Lactoferrin (aapp),2.33e-32,0.14,6,83,1,6.43
Angiotensin Receptor (aapp),5.97e-12,3.59,64,615,16,70.66
Chondrocytes (cell),3.7e-61,0.05,12,22,0,18.55
Glucosides (carb),6.47e-09,0.07,1,9,0,1.11
Furosemide (phsu),2.4e-19,0.33,13,170,0,13.99
Dorsal grey horn (bpoc),1.42e-33,0.01,1,6,0,1.17
Migrants (humn),4.18e-09,2.17,61,165,2,83.55
No status change (fndg),2.71e-06,1.95,118,273,5,169.0
Fragility (comd),2.64e-10,2.44,49,174,7,62.8
Antipsychotic Agents (phsu),9.09e-21,1.09,426,631,37,713.6
Glutamine (aapp),8.51e-20,0.37,47,248,4,55.91
Adrenergic Receptor (aapp),6.65e-25,0.29,88,187,2,129.41
Cardiovascular Abnormalities (dsyn),1.24e-06,3.02,23,100,4,28.29
Thymoma (neop),6.1e-16,0.92,2,337,0,2.01
Transcatheter arterial embolization (topp),2.14e-07,1.01,2,184,0,2.02
Periodontitis (dsyn),4.49e-11,0.86,257,98,4,135.37
bortezomib (orch),7.79e-15,0.74,4,562,0,4.03
Pericardial sac structure (bpoc),2.91e-06,0.95,8,239,2,8.27
Dendrites (celc),8.33e-52,0.02,1,13,0,1.08
Uterine Cancer (neop),6.16e-08,2.77,26,110,9,32.15
soluble fraction (celc),1.9e-16,0.05,1,14,0,1.07
Chloride Channels (aapp),3.93e-08,0.2,2,32,0,2.12
1-Phosphatidylinositol 3-Kinase (gngm),1.27e-31,0.15,15,84,0,17.68
contextual factors (ftcn),6.11e-36,2.88,222,1335,31,258.92
Sodium Chloride (bacs),7.08e-180,0.32,166,1592,9,183.31
JTB gene|JTB (gngm),7.18e-07,0.26,3,39,0,3.23
Hypertensive (fndg),1.15e-14,3.0,1995,2092,182,3897.5
Acute Promyelocytic Leukemia (neop),2.97e-15,0.85,5,438,8,5.06
Ischemia (dsyn),3.04e-75,0.89,130,3228,35,135.24
microbial (orgm),1.71e-20,0.42,28,641,2,29.22
Glass (mnob),4.24e-36,0.1,4,64,1,4.25
Cytoskeletal Proteins (aapp),2.34e-13,0.14,2,35,0,2.11
Entire ear (bpoc),1.42e-32,0.22,23,157,1,26.37
Aluminum (elii),1.76e-25,0.1,2,48,1,2.08
Macaca fascicularis (mamm),1.11e-15,0.18,6,58,0,6.62
Vesico-Ureteral Reflux (dsyn),6.95e-14,0.14,10,29,0,13.45
Hepatitis B Virus (virs),1.01e-06,0.92,61,631,6,66.9
"Diet, Mediterranean (topp)",2e-34,11.47,141,112,24,200.96
